id,target,status,comp_treat,comp,status_comp,fert,light,biomass,root,ini_height,family_tar,family_comp
J579,Solidago_decurrens,native,alone,Non,alone,low,high light,0.302,0.109,4.3,Compositae,Non
J580,Solidago_decurrens,native,alone,Non,alone,low,high light,0.11,0.039,5.7,Compositae,Non
J581,Solidago_decurrens,native,alone,Non,alone,low,high light,0.138,0.029,4.2,Compositae,Non
J596,Paspalum_notatum,alien,alone,Non,alone,low,high light,10.327,2.511,8.2,Poaceae,Non
J597,Paspalum_notatum,alien,alone,Non,alone,low,high light,15.729,3.747,7.1,Poaceae,Non
J598,Paspalum_notatum,alien,alone,Non,alone,low,high light,18.791,6.223,6.2,Poaceae,Non
J599,Paspalum_notatum,alien,alone,Non,alone,low,high light,22.448,5.102,8.8,Poaceae,Non
J600,Paspalum_notatum,alien,alone,Non,alone,low,high light,13.686,2.398,8.7,Poaceae,Non
J601,Paspalum_notatum,alien,alone,Non,alone,low,high light,19.993,6.64,7.3,Poaceae,Non
J602,Paspalum_notatum,alien,alone,Non,alone,low,high light,12.812,3.111,6.5,Poaceae,Non
J617,Paspalum_orbiculare,native,alone,Non,alone,low,high light,13.342,0.794,11.2,Poaceae,Non
J618,Paspalum_orbiculare,native,alone,Non,alone,low,high light,15.566,0.892,12.4,Poaceae,Non
J619,Paspalum_orbiculare,native,alone,Non,alone,low,high light,13.049,0.618,13,Poaceae,Non
J620,Paspalum_orbiculare,native,alone,Non,alone,low,high light,14.19,0.86,9.7,Poaceae,Non
J621,Paspalum_orbiculare,native,alone,Non,alone,low,high light,10.869,1.38,8.9,Poaceae,Non
J622,Paspalum_orbiculare,native,alone,Non,alone,low,high light,14.347,0.953,13.7,Poaceae,Non
J623,Paspalum_orbiculare,native,alone,Non,alone,low,high light,14.568,0.959,14.7,Poaceae,Non
J638,Bidens_pilosa,alien,alone,Non,alone,low,high light,14.1,4.83,4.4,Compositae,Non
J639,Bidens_pilosa,alien,alone,Non,alone,low,high light,2.806,0.799,4.7,Compositae,Non
J640,Bidens_pilosa,alien,alone,Non,alone,low,high light,11.115,3.333,7.5,Compositae,Non
J641,Bidens_pilosa,alien,alone,Non,alone,low,high light,1.851,0.476,6.1,Compositae,Non
J642,Bidens_pilosa,alien,alone,Non,alone,low,high light,17.798,5.048,5.6,Compositae,Non
J643,Bidens_pilosa,alien,alone,Non,alone,low,high light,7.367,2.695,6.2,Compositae,Non
J644,Bidens_pilosa,alien,alone,Non,alone,low,high light,12.201,4.722,5.2,Compositae,Non
J659,Bidens_maximowicziana,native,alone,Non,alone,low,high light,14.842,2.721,6.8,Compositae,Non
J660,Bidens_maximowicziana,native,alone,Non,alone,low,high light,22.432,5.287,6.9,Compositae,Non
